player_name;team;notes;gender
7;VK Prešov;N;F
10;VK Prešov;S;F
11;VK Prešov;U;F
13;VK Prešov;S;F
1;Rieker UJS Komárno;S3-3;M
4;Rieker UJS Komárno;N1-1;M
7;Rieker UJS Komárno;B1;M
8;Rieker UJS Komárno;B;M
9;Rieker UJS Komárno;U1-1;M
18;Rieker UJS Komárno;S2-3;M
1;TJ Spartak Myjava;B;M
2;TJ Spartak Myjava;S2-2;M
6;TJ Spartak Myjava;B1;M
7;TJ Spartak Myjava;U;M
8;TJ Spartak Myjava;N1-2;M
11;TJ Spartak Myjava;S1-2;M
13;TJ Spartak Myjava;N2-2;M
1;VK KDS Šport Košice;N1-2;M
2;VK KDS Šport Košice;S2-3;M
3;VK KDS Šport Košice;U1-1 dolezity;M
4;VK KDS Šport Košice;B;M
12;VK KDS Šport Košice;B;M
17;VK KDS Šport Košice;S1-3;M
5;VKP Bratislava;S2-2 dolezity;M
6;VKP Bratislava;N1-2;M
7;VKP Bratislava;B;M
14;VKP Bratislava;U1-1 dolezity;M
16;VKP Bratislava;B;M
18;VKP Bratislava;S1-2 dolezity;M
3;VK MIRAD UNIPO Prešov;Szarek;M
4;VK MIRAD UNIPO Prešov;Scerba;M
7;VK MIRAD UNIPO Prešov;Porubsky;M
9;VK MIRAD UNIPO Prešov;Mikovcik;M
10;VK MIRAD UNIPO Prešov;Macko;M
13;VK MIRAD UNIPO Prešov;Sopko;M
8;VK MIRAD UNIPO Prešov;Hudak;M
99;ŠŠ volejbal Trenčín;XXX;X
99;TJ Slávia Svidník;XXX;X
99;VK OSMOS Prievidza;XXX;X
